,código,distrito,partido,votos,% votos,mandatos
0,10000,Aveiro,AD/IL,170532.0,40.24,8
1,10000,Aveiro,B.E.,17358.0,4.1,0
2,10000,Aveiro,CH,73110.0,17.25,3
3,10000,Aveiro,L,9510.0,2.24,0
4,10000,Aveiro,Outros,5402.0,1.28,0
5,10000,Aveiro,PAN,7300.0,1.72,0
6,10000,Aveiro,PCP-PEV,5850.0,1.38,0
7,10000,Aveiro,PS,117348.0,27.69,5
8,20000,Beja,AD/IL,14598.0,18.959999999999997,1
9,20000,Beja,B.E.,3393.0,4.41,0
10,20000,Beja,CH,16595.0,21.55,1
11,20000,Beja,L,1369.0,1.78,0
12,20000,Beja,Outros,1153.0,1.5,0
13,20000,Beja,PAN,943.0,1.22,0
14,20000,Beja,PCP-PEV,11570.0,15.03,0
15,20000,Beja,PS,24408.0,31.7,1
16,30000,Braga,AD/IL,218398.0,39.26,9
17,30000,Braga,B.E.,21388.0,3.84,0
18,30000,Braga,CH,93826.0,16.86,4
19,30000,Braga,L,12926.0,2.32,0
20,30000,Braga,Outros,9830.0,1.77,0
21,30000,Braga,PAN,7935.0,1.43,0
22,30000,Braga,PCP-PEV,10136.0,1.82,0
23,30000,Braga,PS,157099.0,28.24,6
24,40000,Bragança,AD/IL,30322.0,41.72,2
25,40000,Bragança,B.E.,1404.0,1.93,0
26,40000,Bragança,CH,13216.0,18.19,0
27,40000,Bragança,L,727.0,1.0,0
28,40000,Bragança,Outros,1244.0,1.7,0
29,40000,Bragança,PCP-PEV,773.0,1.06,0
30,40000,Bragança,PS,21538.0,29.64,1
31,50000,Castelo Branco,AD/IL,33762.0,31.18,1
32,50000,Castelo Branco,B.E.,4451.0,4.11,0
33,50000,Castelo Branco,CH,21131.0,19.52,1
34,50000,Castelo Branco,L,2171.0,2.01,0
35,50000,Castelo Branco,Outros,1391.0,1.29,0
36,50000,Castelo Branco,PAN,1427.0,1.32,0
37,50000,Castelo Branco,PCP-PEV,2372.0,2.19,0
38,50000,Castelo Branco,PS,37052.0,34.22,2
39,60000,Coimbra,AD/IL,83606.0,34.54,4
40,60000,Coimbra,B.E.,12334.0,5.1,0
41,60000,Coimbra,CH,37412.0,15.46,1
42,60000,Coimbra,L,6880.0,2.84,0
43,60000,Coimbra,Outros,2246.0,0.94,0
44,60000,Coimbra,PAN,3835.0,1.58,0
45,60000,Coimbra,PCP-PEV,6816.0,2.82,0
46,60000,Coimbra,PS,79086.0,32.67,4
47,70000,Évora,AD/IL,22276.0,24.92,1
48,70000,Évora,B.E.,3816.0,4.27,0
49,70000,Évora,CH,17846.0,19.96,1
50,70000,Évora,L,1773.0,1.98,0
51,70000,Évora,Outros,1544.0,1.74,0
52,70000,Évora,PAN,991.0,1.11,0
53,70000,Évora,PCP-PEV,9771.0,10.93,0
54,70000,Évora,PS,29309.0,32.79,1
55,80000,Faro,AD/IL,63646.0,26.95,3
56,80000,Faro,B.E.,13579.0,5.75,0
57,80000,Faro,CH,64228.0,27.19,3
58,80000,Faro,L,6501.0,2.75,0
59,80000,Faro,Outros,3388.0,1.43,0
60,80000,Faro,PAN,6098.0,2.58,0
61,80000,Faro,PCP-PEV,7518.0,3.18,0
