código,distrito,inscritos,votantes,% votantes,mandatos,eleitores por mandato
10000,Aveiro,645655,352179,54.55,16,40353.4375
20000,Beja,122987,64269,52.26,3,40995.666666666664
30000,Braga,778173,465570,59.83,19,40956.47368421053
40000,Bragança,141541,63534,44.89,3,47180.333333333336
50000,Castelo Branco,170075,93695,55.09,4,42518.75
60000,Coimbra,380095,203950,53.66,9,42232.77777777778
70000,Évora,136696,74026,54.15,3,45565.333333333336
80000,Faro,376801,172699,45.83,9,41866.77777777778
90000,Guarda,151535,76649,50.58,3,50511.666666666664
100000,Leiria,415245,223632,53.86,10,41524.5
110000,Lisboa,1921047,1101346,57.33,48,40021.8125
120000,Portalegre,96391,51600,53.53,2,48195.5
130000,Porto,1594788,934379,58.59,40,39869.7
140000,Santarém,380889,206918,54.33,9,42321.0
150000,Setúbal,737175,395160,53.6,18,40954.166666666664
160000,Viana do Castelo,240917,121913,50.6,6,40152.833333333336
170000,Vila Real,219087,100260,45.76,5,43817.4
180000,Viseu,347962,177647,51.05,8,43495.25
300000,Madeira,257907,129821,50.34,6,42984.5
400000,Açores,228954,83565,36.5,5,45790.8
800000,Europa,895590,107919,12.05,2,447795.0
900000,Fora da Europa,571164,50333,8.81,2,285582.0
