código,distrito,inscritos,votos,% votos,mandatos,eleitores por mandato
10000,Aveiro,642602,364858,56.78,16,40162.625
20000,Beja,120888,67530,55.86,3,40296.0
30000,Braga,776539,494512,63.68,19,40870.47368421053
40000,Bragança,137572,65742,47.79,3,45857.333333333336
50000,Castelo Branco,166269,95743,57.58,4,41567.25
60000,Coimbra,374935,215122,57.38,9,41659.444444444445
70000,Évora,134828,78940,58.55,3,44942.666666666664
80000,Faro,380371,194967,51.26,9,42263.444444444445
90000,Guarda,145852,76901,52.73,3,48617.333333333336
100000,Leiria,413083,235781,57.08,10,41308.3
110000,Lisboa,1919958,1181874,61.56,48,39999.125
120000,Portalegre,94374,53528,56.72,2,47187.0
130000,Porto,1592590,984800,61.84,40,39814.75
140000,Santarém,378006,218192,57.72,9,42000.666666666664
150000,Setúbal,745593,433217,58.1,18,41421.833333333336
160000,Viana do Castelo,236042,127040,53.82,6,39340.333333333336
170000,Vila Real,213093,105319,49.42,5,42618.6
180000,Viseu,340342,184444,54.19,8,42542.75
300000,Madeira,256431,127111,49.57,6,42738.5
400000,Açores,229022,84084,36.71,5,45804.4
800000,Europa,926376,109350,11.8,2,463188.0
900000,Fora da Europa,595571,64442,10.82,2,297785.5
