código,distrito,partido,votos,% votos,mandatos
10000,Aveiro,A,0.0,0.0,0.0
10000,Aveiro,ADN,676.0,0.19,0.0
10000,Aveiro,B.E.,16708.0,4.58,0.0
10000,Aveiro,CDS-PP,8962.0,2.46,0.0
10000,Aveiro,CH,20562.0,5.64,1.0
10000,Aveiro,IL,16294.0,4.47,0.0
10000,Aveiro,JPP,192.0,0.05,0.0
10000,Aveiro,L,2878.0,0.79,0.0
10000,Aveiro,MAS,405.0,0.11,0.0
10000,Aveiro,MPT,504.0,0.14,0.0
10000,Aveiro,MRPP,1409.0,0.39,0.0
10000,Aveiro,NC,0.0,0.0,0.0
10000,Aveiro,PAN,4604.0,1.26,0.0
10000,Aveiro,PCP-PEV,6551.0,1.8,0.0
10000,Aveiro,PNR,217.0,0.06,0.0
10000,Aveiro,PPD/PSD,130192.0,35.68,7.0
10000,Aveiro,PPM,0.0,0.0,0.0
10000,Aveiro,PS,144198.0,39.52,8.0
10000,Aveiro,PTP,0.0,0.0,0.0
10000,Aveiro,R.I.R.,1815.0,0.5,0.0
10000,Aveiro,VP,431.0,0.12,0.0
10000,Aveiro,brancos,4739.0,1.3,0.0
10000,Aveiro,nulos,3521.0,0.97,0.0
20000,Beja,A,0.0,0.0,0.0
20000,Beja,ADN,0.0,0.0,0.0
20000,Beja,B.E.,2511.0,3.72,0.0
20000,Beja,CDS-PP,515.0,0.76,0.0
20000,Beja,CH,6932.0,10.27,0.0
20000,Beja,IL,1388.0,2.06,0.0
20000,Beja,JPP,0.0,0.0,0.0
20000,Beja,L,491.0,0.73,0.0
20000,Beja,MAS,62.0,0.09,0.0
20000,Beja,MPT,89.0,0.13,0.0
20000,Beja,MRPP,415.0,0.61,0.0
20000,Beja,NC,0.0,0.0,0.0
20000,Beja,PAN,597.0,0.88,0.0
20000,Beja,PCP-PEV,12442.0,18.42,1.0
20000,Beja,PNR,78.0,0.12,0.0
20000,Beja,PPD/PSD,10767.0,15.94,0.0
20000,Beja,PPM,0.0,0.0,0.0
20000,Beja,PS,29533.0,43.73,2.0
20000,Beja,PTP,45.0,0.07,0.0
20000,Beja,R.I.R.,156.0,0.23,0.0
20000,Beja,VP,103.0,0.15,0.0
20000,Beja,brancos,767.0,1.14,0.0
20000,Beja,nulos,639.0,0.95,0.0
30000,Braga,A,286.0,0.06,0.0
30000,Braga,ADN,0.0,0.0,0.0
30000,Braga,B.E.,18558.0,3.75,0.0
30000,Braga,CDS-PP,8215.0,1.66,0.0
30000,Braga,CH,28746.0,5.81,1.0
30000,Braga,IL,21432.0,4.33,1.0
30000,Braga,JPP,481.0,0.1,0.0
30000,Braga,L,3925.0,0.79,0.0
30000,Braga,MAS,549.0,0.11,0.0
30000,Braga,MPT,453.0,0.09,0.0
30000,Braga,MRPP,0.0,0.0,0.0
30000,Braga,NC,0.0,0.0,0.0
30000,Braga,PAN,5907.0,1.19,0.0
30000,Braga,PCP-PEV,12993.0,2.63,0.0
30000,Braga,PNR,494.0,0.1,0.0
30000,Braga,PPD/PSD,172007.0,34.78,8.0
30000,Braga,PPM,0.0,0.0,0.0
30000,Braga,PS,207793.0,42.02,9.0
30000,Braga,PTP,460.0,0.09,0.0
30000,Braga,R.I.R.,1767.0,0.36,0.0
30000,Braga,VP,357.0,0.07,0.0
30000,Braga,brancos,6152.0,1.24,0.0
30000,Braga,nulos,3937.0,0.8,0.0
40000,Bragança,A,0.0,0.0,0.0
40000,Bragança,ADN,0.0,0.0,0.0
40000,Bragança,B.E.,1371.0,2.09,0.0
40000,Bragança,CDS-PP,1368.0,2.08,0.0
40000,Bragança,CH,5619.0,8.55,0.0
40000,Bragança,IL,1049.0,1.6,0.0
40000,Bragança,JPP,0.0,0.0,0.0
40000,Bragança,L,230.0,0.35,0.0
40000,Bragança,MAS,54.0,0.08,0.0
40000,Bragança,MPT,91.0,0.14,0.0
40000,Bragança,MRPP,0.0,0.0,0.0
40000,Bragança,NC,0.0,0.0,0.0
40000,Bragança,PAN,397.0,0.6,0.0
40000,Bragança,PCP-PEV,892.0,1.36,0.0
40000,Bragança,PNR,64.0,0.1,0.0
40000,Bragança,PPD/PSD,26480.0,40.28,1.0
40000,Bragança,PPM,0.0,0.0,0.0
40000,Bragança,PS,26495.0,40.3,2.0
40000,Bragança,PTP,0.0,0.0,0.0
40000,Bragança,R.I.R.,249.0,0.38,0.0
40000,Bragança,VP,0.0,0.0,0.0
40000,Bragança,brancos,567.0,0.86,0.0
40000,Bragança,nulos,816.0,1.24,0.0
50000,Castelo Branco,A,0.0,0.0,0.0
50000,Castelo Branco,ADN,182.0,0.19,0.0
50000,Castelo Branco,B.E.,4069.0,4.25,0.0
50000,Castelo Branco,CDS-PP,1497.0,1.56,0.0
50000,Castelo Branco,CH,7958.0,8.31,0.0
50000,Castelo Branco,IL,2443.0,2.55,0.0
50000,Castelo Branco,JPP,0.0,0.0,0.0
50000,Castelo Branco,L,774.0,0.81,0.0
50000,Castelo Branco,MAS,91.0,0.1,0.0
50000,Castelo Branco,MPT,154.0,0.16,0.0
50000,Castelo Branco,MRPP,313.0,0.33,0.0
50000,Castelo Branco,NC,78.0,0.08,0.0
50000,Castelo Branco,PAN,935.0,0.98,0.0
50000,Castelo Branco,PCP-PEV,2784.0,2.91,0.0
50000,Castelo Branco,PNR,59.0,0.06,0.0
50000,Castelo Branco,PPD/PSD,26237.0,27.4,1.0
50000,Castelo Branco,PPM,0.0,0.0,0.0
50000,Castelo Branco,PS,45622.0,47.65,3.0
50000,Castelo Branco,PTP,43.0,0.04,0.0
50000,Castelo Branco,R.I.R.,239.0,0.25,0.0
50000,Castelo Branco,VP,0.0,0.0,0.0
50000,Castelo Branco,brancos,1117.0,1.17,0.0
50000,Castelo Branco,nulos,1148.0,1.2,0.0
60000,Coimbra,A,322.0,0.15,0.0
60000,Coimbra,ADN,0.0,0.0,0.0
60000,Coimbra,B.E.,10957.0,5.09,0.0
60000,Coimbra,CDS-PP,3244.0,1.51,0.0
60000,Coimbra,CH,13180.0,6.13,0.0
60000,Coimbra,IL,7779.0,3.62,0.0
60000,Coimbra,JPP,0.0,0.0,0.0
60000,Coimbra,L,2195.0,1.02,0.0
60000,Coimbra,MAS,242.0,0.11,0.0
60000,Coimbra,MPT,203.0,0.09,0.0
60000,Coimbra,MRPP,542.0,0.25,0.0
60000,Coimbra,NC,0.0,0.0,0.0
60000,Coimbra,PAN,2571.0,1.2,0.0
60000,Coimbra,PCP-PEV,7294.0,3.39,0.0
60000,Coimbra,PNR,120.0,0.06,0.0
60000,Coimbra,PPD/PSD,62718.0,29.15,3.0
60000,Coimbra,PPM,0.0,0.0,0.0
60000,Coimbra,PS,97310.0,45.23,6.0
60000,Coimbra,PTP,0.0,0.0,0.0
60000,Coimbra,R.I.R.,706.0,0.33,0.0
60000,Coimbra,VP,255.0,0.12,0.0
60000,Coimbra,brancos,3120.0,1.45,0.0
60000,Coimbra,nulos,2364.0,1.1,0.0
70000,Évora,A,0.0,0.0,0.0
70000,Évora,ADN,0.0,0.0,0.0
70000,Évora,B.E.,2628.0,3.33,0.0
70000,Évora,CDS-PP,896.0,1.14,0.0
70000,Évora,CH,7222.0,9.15,0.0
70000,Évora,IL,1947.0,2.47,0.0
70000,Évora,JPP,0.0,0.0,0.0
70000,Évora,L,496.0,0.63,0.0
70000,Évora,MAS,77.0,0.1,0.0
70000,Évora,MPT,63.0,0.08,0.0
70000,Évora,MRPP,0.0,0.0,0.0
70000,Évora,NC,0.0,0.0,0.0
70000,Évora,PAN,665.0,0.84,0.0
70000,Évora,PCP-PEV,11494.0,14.56,0.0
70000,Évora,PNR,56.0,0.07,0.0
70000,Évora,PPD/PSD,16902.0,21.41,1.0
70000,Évora,PPM,0.0,0.0,0.0
70000,Évora,PS,34693.0,43.95,2.0
70000,Évora,PTP,42.0,0.05,0.0
70000,Évora,R.I.R.,263.0,0.33,0.0
70000,Évora,VP,96.0,0.12,0.0
70000,Évora,brancos,843.0,1.07,0.0
70000,Évora,nulos,557.0,0.71,0.0
80000,Faro,A,0.0,0.0,0.0
80000,Faro,ADN,1152.0,0.59,0.0
80000,Faro,B.E.,11226.0,5.76,0.0
80000,Faro,CDS-PP,2109.0,1.08,0.0
80000,Faro,CH,23988.0,12.3,1.0
80000,Faro,IL,9042.0,4.64,0.0
80000,Faro,JPP,0.0,0.0,0.0
80000,Faro,L,2111.0,1.08,0.0
80000,Faro,MAS,286.0,0.15,0.0
80000,Faro,MPT,383.0,0.2,0.0
80000,Faro,MRPP,0.0,0.0,0.0
80000,Faro,NC,0.0,0.0,0.0
80000,Faro,PAN,4213.0,2.16,0.0
80000,Faro,PCP-PEV,9379.0,4.81,0.0
80000,Faro,PNR,220.0,0.11,0.0
80000,Faro,PPD/PSD,47471.0,24.35,3.0
80000,Faro,PPM,0.0,0.0,0.0
80000,Faro,PS,77740.0,39.87,5.0
80000,Faro,PTP,250.0,0.13,0.0
80000,Faro,R.I.R.,759.0,0.39,0.0
80000,Faro,VP,210.0,0.11,0.0
80000,Faro,brancos,2599.0,1.33,0.0
80000,Faro,nulos,1829.0,0.94,0.0
90000,Guarda,A,0.0,0.0,0.0
90000,Guarda,ADN,0.0,0.0,0.0
90000,Guarda,B.E.,2359.0,3.07,0.0
90000,Guarda,CDS-PP,1699.0,2.21,0.0
90000,Guarda,CH,6116.0,7.95,0.0
90000,Guarda,IL,1487.0,1.93,0.0
90000,Guarda,JPP,0.0,0.0,0.0
90000,Guarda,L,413.0,0.54,0.0
90000,Guarda,MAS,65.0,0.08,0.0
90000,Guarda,MPT,69.0,0.09,0.0
90000,Guarda,MRPP,0.0,0.0,0.0
90000,Guarda,NC,0.0,0.0,0.0
90000,Guarda,PAN,504.0,0.66,0.0
90000,Guarda,PCP-PEV,1360.0,1.77,0.0
90000,Guarda,PNR,120.0,0.16,0.0
90000,Guarda,PPD/PSD,25776.0,33.52,1.0
90000,Guarda,PPM,0.0,0.0,0.0
90000,Guarda,PS,34685.0,45.1,2.0
90000,Guarda,PTP,66.0,0.09,0.0
90000,Guarda,R.I.R.,341.0,0.44,0.0
90000,Guarda,VP,117.0,0.15,0.0
90000,Guarda,brancos,774.0,1.01,0.0
90000,Guarda,nulos,950.0,1.24,0.0
100000,Leiria,A,0.0,0.0,0.0
100000,Leiria,ADN,783.0,0.33,0.0
100000,Leiria,B.E.,10711.0,4.54,0.0
100000,Leiria,CDS-PP,4834.0,2.05,0.0
100000,Leiria,CH,18918.0,8.02,1.0
100000,Leiria,IL,12400.0,5.26,0.0
100000,Leiria,JPP,0.0,0.0,0.0
100000,Leiria,L,2469.0,1.05,0.0
100000,Leiria,MAS,264.0,0.11,0.0
100000,Leiria,MPT,353.0,0.15,0.0
100000,Leiria,MRPP,0.0,0.0,0.0
100000,Leiria,NC,376.0,0.16,0.0
100000,Leiria,PAN,3090.0,1.31,0.0
100000,Leiria,PCP-PEV,7340.0,3.11,0.0
100000,Leiria,PNR,173.0,0.07,0.0
100000,Leiria,PPD/PSD,81778.0,34.68,4.0
100000,Leiria,PPM,0.0,0.0,0.0
100000,Leiria,PS,84253.0,35.73,5.0
