,código,distrito,partido,votos,% votos,mandatos
0,10000,Aveiro,AD,148861.0,35.13,7.0
1,10000,Aveiro,ADN,5753.0,1.36,0.0
2,10000,Aveiro,B.E.,17358.0,4.1,0.0
3,10000,Aveiro,CH,73110.0,17.25,3.0
4,10000,Aveiro,IL,21671.0,5.11,1.0
5,10000,Aveiro,JPP,0.0,0.0,0.0
6,10000,Aveiro,L,9510.0,2.24,0.0
7,10000,Aveiro,MPT.A,206.0,0.05,0.0
8,10000,Aveiro,MRPP,1215.0,0.29,0.0
9,10000,Aveiro,NC,0.0,0.0,0.0
10,10000,Aveiro,ND,1076.0,0.25,0.0
11,10000,Aveiro,PAN,7300.0,1.72,0.0
12,10000,Aveiro,PCP-PEV,5850.0,1.38,0.0
13,10000,Aveiro,PNR,362.0,0.09,0.0
14,10000,Aveiro,PPM,0.0,0.0,0.0
15,10000,Aveiro,PS,117348.0,27.69,5.0
16,10000,Aveiro,PTP,0.0,0.0,0.0
17,10000,Aveiro,R.I.R.,1933.0,0.46,0.0
18,10000,Aveiro,VP,610.0,0.14,0.0
19,10000,Aveiro,brancos,7031.0,1.66,0.0
20,10000,Aveiro,nulos,4577.0,1.08,0.0
21,20000,Beja,AD,12890.0,16.74,1.0
22,20000,Beja,ADN,861.0,1.12,0.0
23,20000,Beja,B.E.,3393.0,4.41,0.0
24,20000,Beja,CH,16595.0,21.55,1.0
25,20000,Beja,IL,1708.0,2.22,0.0
26,20000,Beja,JPP,0.0,0.0,0.0
27,20000,Beja,L,1369.0,1.78,0.0
28,20000,Beja,MPT.A,0.0,0.0,0.0
29,20000,Beja,MRPP,624.0,0.81,0.0
30,20000,Beja,NC,0.0,0.0,0.0
31,20000,Beja,ND,106.0,0.14,0.0
32,20000,Beja,PAN,943.0,1.22,0.0
33,20000,Beja,PCP-PEV,11570.0,15.03,0.0
34,20000,Beja,PNR,95.0,0.12,0.0
35,20000,Beja,PPM,0.0,0.0,0.0
36,20000,Beja,PS,24408.0,31.7,1.0
37,20000,Beja,PTP,0.0,0.0,0.0
38,20000,Beja,R.I.R.,181.0,0.24,0.0
39,20000,Beja,VP,147.0,0.19,0.0
40,20000,Beja,brancos,1170.0,1.52,0.0
41,20000,Beja,nulos,934.0,1.21,0.0
42,30000,Braga,AD,184468.0,33.16,8.0
43,30000,Braga,ADN,9964.0,1.79,0.0
44,30000,Braga,B.E.,21388.0,3.84,0.0
45,30000,Braga,CH,93826.0,16.86,4.0
46,30000,Braga,IL,33930.0,6.1,1.0
47,30000,Braga,JPP,590.0,0.11,0.0
48,30000,Braga,L,12926.0,2.32,0.0
49,30000,Braga,MPT.A,673.0,0.12,0.0
50,30000,Braga,MRPP,1897.0,0.34,0.0
51,30000,Braga,NC,534.0,0.1,0.0
52,30000,Braga,ND,2616.0,0.47,0.0
53,30000,Braga,PAN,7935.0,1.43,0.0
54,30000,Braga,PCP-PEV,10136.0,1.82,0.0
55,30000,Braga,PNR,515.0,0.09,0.0
56,30000,Braga,PPM,0.0,0.0,0.0
57,30000,Braga,PS,157099.0,28.24,6.0
58,30000,Braga,PTP,0.0,0.0,0.0
59,30000,Braga,R.I.R.,2234.0,0.4,0.0
60,30000,Braga,VP,771.0,0.14,0.0
61,30000,Braga,brancos,9588.0,1.72,0.0
62,30000,Braga,nulos,5277.0,0.95,0.0
63,40000,Bragança,AD,29077.0,40.01,2.0
64,40000,Bragança,ADN,1587.0,2.18,0.0
65,40000,Bragança,B.E.,1404.0,1.93,0.0
66,40000,Bragança,CH,13216.0,18.19,0.0
67,40000,Bragança,IL,1245.0,1.71,0.0
68,40000,Bragança,JPP,0.0,0.0,0.0
69,40000,Bragança,L,727.0,1.0,0.0
70,40000,Bragança,MPT.A,52.0,0.07,0.0
71,40000,Bragança,MRPP,0.0,0.0,0.0
72,40000,Bragança,NC,0.0,0.0,0.0
73,40000,Bragança,ND,316.0,0.43,0.0
74,40000,Bragança,PAN,598.0,0.82,0.0
75,40000,Bragança,PCP-PEV,773.0,1.06,0.0
76,40000,Bragança,PNR,109.0,0.15,0.0
77,40000,Bragança,PPM,0.0,0.0,0.0
78,40000,Bragança,PS,21538.0,29.64,1.0
79,40000,Bragança,PTP,0.0,0.0,0.0
80,40000,Bragança,R.I.R.,169.0,0.23,0.0
81,40000,Bragança,VP,0.0,0.0,0.0
82,40000,Bragança,brancos,890.0,1.22,0.0
83,40000,Bragança,nulos,972.0,1.34,0.0
84,50000,Castelo Branco,AD,30803.0,28.45,1.0
85,50000,Castelo Branco,ADN,1491.0,1.38,0.0
86,50000,Castelo Branco,B.E.,4451.0,4.11,0.0
87,50000,Castelo Branco,CH,21131.0,19.52,1.0
88,50000,Castelo Branco,IL,2959.0,2.73,0.0
89,50000,Castelo Branco,JPP,0.0,0.0,0.0
90,50000,Castelo Branco,L,2171.0,2.01,0.0
91,50000,Castelo Branco,MPT.A,0.0,0.0,0.0
92,50000,Castelo Branco,MRPP,441.0,0.41,0.0
93,50000,Castelo Branco,NC,0.0,0.0,0.0
94,50000,Castelo Branco,ND,315.0,0.29,0.0
95,50000,Castelo Branco,PAN,1427.0,1.32,0.0
96,50000,Castelo Branco,PCP-PEV,2372.0,2.19,0.0
97,50000,Castelo Branco,PNR,100.0,0.09,0.0
98,50000,Castelo Branco,PPM,0.0,0.0,0.0
99,50000,Castelo Branco,PS,37052.0,34.22,2.0
100,50000,Castelo Branco,PTP,0.0,0.0,0.0
101,50000,Castelo Branco,R.I.R.,367.0,0.34,0.0
102,50000,Castelo Branco,VP,168.0,0.16,0.0
103,50000,Castelo Branco,brancos,1529.0,1.41,0.0
104,50000,Castelo Branco,nulos,1491.0,1.38,0.0
105,60000,Coimbra,AD,74019.0,30.58,3.0
106,60000,Coimbra,ADN,2421.0,1.0,0.0
107,60000,Coimbra,B.E.,12334.0,5.1,0.0
108,60000,Coimbra,CH,37412.0,15.46,2.0
109,60000,Coimbra,IL,9587.0,3.96,0.0
110,60000,Coimbra,JPP,185.0,0.08,0.0
111,60000,Coimbra,L,6880.0,2.84,0.0
112,60000,Coimbra,MPT.A,140.0,0.06,0.0
113,60000,Coimbra,MRPP,0.0,0.0,0.0
114,60000,Coimbra,NC,0.0,0.0,0.0
115,60000,Coimbra,ND,577.0,0.24,0.0
116,60000,Coimbra,PAN,3835.0,1.58,0.0
117,60000,Coimbra,PCP-PEV,6816.0,2.82,0.0
118,60000,Coimbra,PNR,187.0,0.08,0.0
119,60000,Coimbra,PPM,0.0,0.0,0.0
120,60000,Coimbra,PS,79086.0,32.67,4.0
121,60000,Coimbra,PTP,0.0,0.0,0.0
122,60000,Coimbra,R.I.R.,730.0,0.3,0.0
123,60000,Coimbra,VP,427.0,0.18,0.0
124,60000,Coimbra,brancos,4795.0,1.98,0.0
125,60000,Coimbra,nulos,2636.0,1.09,0.0
126,70000,Évora,AD,20049.0,22.43,1.0
127,70000,Évora,ADN,838.0,0.94,0.0
128,70000,Évora,B.E.,3816.0,4.27,0.0
129,70000,Évora,CH,17846.0,19.96,1.0
