código,nome do território,ano,concelhos apurados,concelhos por apurar,total de concelhos,freguesias apuradas,freguesias por apurar,total de freguesias,consulados apurados,consulados por apurar,total de consulados,inscritos,votos,% votos,brancos,% brancos,nulos,% nulos,mandatos,mandatos por atribuir,opção 1,votos 1,% votos1,mandatos 1,opção 2,votos 2,% votos2,mandatos 2,opção 3,votos 3,% votos3,mandatos 3,opção 4,votos 4,% votos4,mandatos 4,opção 5,votos 5,% votos5,mandatos 5,opção 6,votos 6,% votos6,mandatos 6,opção 7,votos 7,% votos7,mandatos 7,opção 8,votos 8,% votos8,mandatos 8,opção 9,votos 9,% votos9,mandatos 9,opção 10,votos 10,% votos10,mandatos 10,opção 11,votos 11,% votos11,mandatos 11,opção 12,votos 12,% votos12,mandatos 12,opção 13,votos 13,% votos13,mandatos 13,opção 14,votos 14,% votos14,mandatos 14,opção 15,votos 15,% votos15,mandatos 15,opção 16,votos 16,% votos16,mandatos 16,opção 17,votos 17,% votos17,mandatos 17,opção 18,votos 18,% votos18,mandatos 18,opção 19,votos 19,% votos19,mandatos 19,opção 20,votos 20,% votos20,mandatos 20
990000,Resultados Globais,2024,308,0,308,3092,0,3092,24,0,24,10818226,6473789,59.84,89823,1.39,189676,2.93,230,0,ADN,102132,1.58,0,B.E.,282314,4.36,5,CH,1169836,18.07,50,E,6034,0.09,0,IL,319685,4.94,8,JPP,19133,0.3,0,L,204676,3.16,4,MPT.A,4267,0.07,0,NC,2396,0.04,0,ND,16442,0.25,0,PAN,126085,1.95,1,PCP-PEV,205436,3.17,4,PCTP/MRPP,15499,0.24,0,PPD/PSD.CDS-PP,52992,0.82,3,PPD/PSD.CDS-PP.PPM,1814021,28.02,77,PPM,451,0.01,0,PS,1812469,28,78,PTP,2443,0.04,0,R.I.R.,26121,0.4,0,VP,11858,0.18,0
500000,Território Nacional,2024,308,0,308,3092,0,3092,,,,9271479,6140269,66.23,87957,1.43,67349,1.1,226,0,ADN,100051,1.63,0,B.E.,274029,4.46,5,CH,1108797,18.06,48,E,5730,0.09,0,IL,312064,5.08,8,JPP,18371,0.3,0,L,199888,3.26,4,MPT.A,4047,0.07,0,NC,1627,0.03,0,ND,14479,0.24,0,PAN,118579,1.93,1,PCP-PEV,202325,3.3,4,PCTP/MRPP,14751,0.24,0,PPD/PSD.CDS-PP,52992,0.86,3,PPD/PSD.CDS-PP.PPM,1758035,28.63,76,PPM,451,0.01,0,PS,1759998,28.66,77,PTP,2443,0.04,0,R.I.R.,25482,0.41,0,VP,10824,0.18,0
600000,Estrangeiro,2024,,,,,,,24,0,24,1546747,333520,21.56,1866,0.56,122327,36.68,4,0,ADN,2081,0.62,0,B.E.,8285,2.48,0,CH,61039,18.3,2,E,304,0.09,0,IL,7621,2.29,0,JPP,762,0.23,0,L,4788,1.44,0,MPT.A,220,0.07,0,NC,769,0.23,0,ND,1963,0.59,0,PAN,7506,2.25,0,PCP-PEV,3111,0.93,0,PCTP/MRPP,748,0.22,0,,,,,PPD/PSD.CDS-PP.PPM,55986,16.79,1,,,,,PS,52471,15.73,1,,,,,R.I.R.,639,0.19,0,VP,1034,0.31,0
10000,Aveiro,2024,19,0,19,147,0,147,,,,642086,423771,66,7031,1.66,4577,1.08,16,0,ADN,5753,1.36,0,B.E.,17358,4.1,0,CH,73110,17.25,3,E,362,0.09,0,IL,21671,5.11,1,,,,,L,9510,2.24,0,MPT.A,206,0.05,0,,,,,ND,1076,0.25,0,PAN,7300,1.72,0,PCP-PEV,5850,1.38,0,PCTP/MRPP,1215,0.29,0,,,,,PPD/PSD.CDS-PP.PPM,148861,35.13,7,,,,,PS,117348,27.69,5,,,,,R.I.R.,1933,0.46,0,VP,610,0.14,0
20000,Beja,2024,14,0,14,75,0,75,,,,119102,76994,64.65,1170,1.52,934,1.21,3,0,ADN,861,1.12,0,B.E.,3393,4.41,0,CH,16595,21.55,1,E,95,0.12,0,IL,1708,2.22,0,,,,,L,1369,1.78,0,,,,,,,,,ND,106,0.14,0,PAN,943,1.22,0,PCP-PEV,11570,15.03,0,PCTP/MRPP,624,0.81,0,,,,,PPD/PSD.CDS-PP.PPM,12890,16.74,1,,,,,PS,24408,31.7,1,,,,,R.I.R.,181,0.24,0,VP,147,0.19,0
30000,Braga,2024,14,0,14,347,0,347,,,,780163,556367,71.31,9588,1.72,5277,0.95,19,0,ADN,9964,1.79,0,B.E.,21388,3.84,0,CH,93826,16.86,4,E,515,0.09,0,IL,33930,6.1,1,JPP,590,0.11,0,L,12926,2.32,0,MPT.A,673,0.12,0,NC,534,0.1,0,ND,2616,0.47,0,PAN,7935,1.43,0,PCP-PEV,10136,1.82,0,PCTP/MRPP,1897,0.34,0,,,,,PPD/PSD.CDS-PP.PPM,184468,33.16,8,,,,,PS,157099,28.24,6,,,,,R.I.R.,2234,0.4,0,VP,771,0.14,0
40000,Bragança,2024,12,0,12,226,0,226,,,,134213,72673,54.15,890,1.22,972,1.34,3,0,ADN,1587,2.18,0,B.E.,1404,1.93,0,CH,13216,18.19,0,E,109,0.15,0,IL,1245,1.71,0,,,,,L,727,1,0,MPT.A,52,0.07,0,,,,,ND,316,0.43,0,PAN,598,0.82,0,PCP-PEV,773,1.06,0,,,,,,,,,PPD/PSD.CDS-PP.PPM,29077,40.01,2,,,,,PS,21538,29.64,1,,,,,R.I.R.,169,0.23,0,,,,
50000,Castelo Branco,2024,11,0,11,120,0,120,,,,163578,108268,66.19,1529,1.41,1491,1.38,4,0,ADN,1491,1.38,0,B.E.,4451,4.11,0,CH,21131,19.52,1,E,100,0.09,0,IL,2959,2.73,0,,,,,L,2171,2.01,0,,,,,,,,,ND,315,0.29,0,PAN,1427,1.32,0,PCP-PEV,2372,2.19,0,PCTP/MRPP,441,0.41,0,,,,,PPD/PSD.CDS-PP.PPM,30803,28.45,1,,,,,PS,37052,34.22,2,,,,,R.I.R.,367,0.34,0,VP,168,0.16,0
60000,Coimbra,2024,17,0,17,155,0,155,,,,371745,242067,65.12,4795,1.98,2636,1.09,9,0,ADN,2421,1,0,B.E.,12334,5.1,0,CH,37412,15.46,2,E,187,0.08,0,IL,9587,3.96,0,JPP,185,0.08,0,L,6880,2.84,0,MPT.A,140,0.06,0,,,,,ND,577,0.24,0,PAN,3835,1.58,0,PCP-PEV,6816,2.82,0,,,,,,,,,PPD/PSD.CDS-PP.PPM,74019,30.58,3,,,,,PS,79086,32.67,4,,,,,R.I.R.,730,0.3,0,VP,427,0.18,0
70000,Évora,2024,14,0,14,69,0,69,,,,133400,89387,67.01,1251,1.4,810,0.91,3,0,ADN,838,0.94,0,B.E.,3816,4.27,0,CH,17846,19.96,1,E,81,0.09,0,IL,2227,2.49,0,,,,,L,1773,1.98,0,MPT.A,41,0.05,0,,,,,ND,160,0.18,0,PAN,991,1.11,0,PCP-PEV,9771,10.93,0,,,,,,,,,PPD/PSD.CDS-PP.PPM,20049,22.43,1,,,,,PS,29309,32.79,1,,,,,R.I.R.,273,0.31,0,VP,151,0.17,0
