,código,distrito,partido,votos,% votos,mandatos
0,130000,PORTO,B.E.,66986.0,1.730443109949524,2.0
1,130000,PORTO,CDS-PP,68382.0,1.1095704566765756,2.0
2,130000,PORTO,PCP-PEV,54297.0,,1.0
3,130000,PORTO,PCTP/MRPP,7993.0,,0.0
4,130000,PORTO,PDA,0.0,,0.0
5,130000,PORTO,P.H.,2353.0,,0.0
6,130000,PORTO,PND,7666.0,,0.0
7,130000,PORTO,PNR,0.0,,0.0
8,130000,PORTO,POUS,1038.0,,0.0
9,130000,PORTO,PPD/PSD,278774.0,,9.0
10,130000,PORTO,PS,486501.0,,17.0
11,130000,PORTO,P.N.R.,0.0,,0.0
12,10000,AVEIRO,B.E.,19833.0,1.9065204847085977,0.0
13,10000,AVEIRO,CDS-PP,38046.0,1.003013400012823,1.0
14,10000,AVEIRO,PCP-PEV,13784.0,,0.0
15,10000,AVEIRO,PCTP/MRPP,2368.0,,0.0
16,10000,AVEIRO,PDA,0.0,,0.0
17,10000,AVEIRO,P.H.,1044.0,,0.0
18,10000,AVEIRO,PND,3511.0,,0.0
19,10000,AVEIRO,PNR,705.0,,0.0
20,10000,AVEIRO,POUS,0.0,,0.0
21,10000,AVEIRO,PPD/PSD,139062.0,,6.0
22,10000,AVEIRO,PS,160227.0,,6.0
23,10000,AVEIRO,P.N.R.,0.0,,0.0
24,220000,MADEIRA,B.E.,5263.0,1.1245008556759841,0.0
25,220000,MADEIRA,CDS-PP,9135.0,1.6657159155733028,0.0
26,220000,MADEIRA,PCP-PEV,5078.0,,0.0
27,220000,MADEIRA,PCTP/MRPP,1630.0,,0.0
28,220000,MADEIRA,PDA,0.0,,0.0
29,220000,MADEIRA,P.H.,901.0,,0.0
30,220000,MADEIRA,PND,1876.0,,0.0
31,220000,MADEIRA,PNR,0.0,,0.0
32,220000,MADEIRA,POUS,0.0,,0.0
33,220000,MADEIRA,PPD/PSD,63374.0,,3.0
34,220000,MADEIRA,PS,49070.0,,2.0
35,220000,MADEIRA,P.N.R.,0.0,,0.0
36,30000,BRAGA,B.E.,22187.0,1.3600056519715407,0.0
37,30000,BRAGA,CDS-PP,37656.0,0.8465489726710552,1.0
38,30000,BRAGA,PCP-PEV,23003.0,,0.0
39,30000,BRAGA,PCTP/MRPP,3691.0,,0.0
40,30000,BRAGA,PDA,0.0,,0.0
41,30000,BRAGA,P.H.,1311.0,,0.0
42,30000,BRAGA,PND,4386.0,,0.0
43,30000,BRAGA,PNR,705.0,,0.0
44,30000,BRAGA,POUS,868.0,,0.0
45,30000,BRAGA,PPD/PSD,158233.0,,6.0
46,30000,BRAGA,PS,218589.0,,8.0
47,30000,BRAGA,P.N.R.,0.0,,0.0
48,110000,LISBOA,B.E.,103971.0,2.1460403195964837,3.0
49,110000,LISBOA,CDS-PP,97652.0,1.0759703330577028,3.0
50,110000,LISBOA,PCP-PEV,115571.0,,4.0
51,110000,LISBOA,PCTP/MRPP,10978.0,,0.0
52,110000,LISBOA,PDA,1125.0,,0.0
53,110000,LISBOA,P.H.,3581.0,,0.0
54,110000,LISBOA,PND,7183.0,,0.0
55,110000,LISBOA,PNR,2823.0,,0.0
56,110000,LISBOA,POUS,1456.0,,0.0
57,110000,LISBOA,PPD/PSD,280448.0,,10.0
