,distrito,mandatos,mandatos_cc,diferenca
22,Comp.,0.0,0.0,40.0
11,PORTALEGRE,2.0,2.0,0.0
20,Europa,2.0,2.0,0.0
21,F. Europa,2.0,2.0,0.0
1,BEJA,3.0,3.0,0.0
6,EVORA,3.0,3.0,0.0
3,BRAGANCA,4.0,3.0,1.0
8,GUARDA,4.0,3.0,1.0
4,CASTELO BRANCO,5.0,4.0,1.0
16,VILA REAL,5.0,4.0,1.0
18,ACORES,5.0,4.0,1.0
15,VIANA DO CASTELO,6.0,5.0,1.0
19,MADEIRA,6.0,5.0,1.0
7,FARO,8.0,7.0,1.0
17,VISEU,9.0,7.0,2.0
5,COIMBRA,10.0,8.0,2.0
9,LEIRIA,10.0,8.0,2.0
13,SANTAREM,10.0,8.0,2.0
0,AVEIRO,15.0,13.0,2.0
14,SETUBAL,17.0,14.0,3.0
2,BRAGA,18.0,15.0,3.0
12,PORTO,38.0,31.0,7.0
10,LISBOA,48.0,39.0,9.0
