,código,distrito,partido,votos,% votos,mandatos
0,800000,Europa,B.E.,785.0,5.75,0.0
1,800000,Europa,CDS-PP,0.0,0.0,0.0
2,800000,Europa,CDS-PP.PPM,0.0,0.0,0.0
3,800000,Europa,JPP,28.0,0.21,0.0
4,800000,Europa,L/TDA,249.0,1.82,0.0
5,800000,Europa,MPT,82.0,0.6,0.0
6,800000,Europa,NC,86.0,0.63,0.0
7,800000,Europa,PAN,128.0,0.94,0.0
8,800000,Europa,PCP-PEV,811.0,5.94,0.0
9,800000,Europa,PCTP/MRPP,98.0,0.72,0.0
10,800000,Europa,PDR,169.0,1.24,0.0
11,800000,Europa,PNR,45.0,0.33,0.0
12,800000,Europa,PPD/PSD,0.0,0.0,0.0
13,800000,Europa,PPD/PSD.CDS-PP,5340.0,39.1,0.0
14,800000,Europa,PPM,40.0,0.29,0.0
15,800000,Europa,PPV/CDC,0.0,0.0,0.0
16,800000,Europa,PS,4081.0,29.88,0.0
17,800000,Europa,PTP,0.0,0.0,0.0
18,800000,Europa,PTP-MAS,23.0,0.17,0.0
19,800000,Europa,PURP,96.0,0.7,0.0
20,120000,Portalegre,B.E.,5427.0,9.2,0.0
21,120000,Portalegre,CDS-PP,0.0,0.0,0.0
22,120000,Portalegre,CDS-PP.PPM,0.0,0.0,0.0
23,120000,Portalegre,JPP,0.0,0.0,0.0
24,120000,Portalegre,L/TDA,189.0,0.32,0.0
25,120000,Portalegre,MPT,154.0,0.26,0.0
26,120000,Portalegre,NC,144.0,0.24,0.0
27,120000,Portalegre,PAN,464.0,0.79,0.0
28,120000,Portalegre,PCP-PEV,7184.0,12.18,0.0
29,120000,Portalegre,PCTP/MRPP,1001.0,1.7,0.0
30,120000,Portalegre,PDR,326.0,0.55,0.0
31,120000,Portalegre,PNR,217.0,0.37,0.0
32,120000,Portalegre,PPD/PSD,0.0,0.0,0.0
33,120000,Portalegre,PPD/PSD.CDS-PP,16303.0,27.63,1.0
34,120000,Portalegre,PPM,187.0,0.32,0.0
35,120000,Portalegre,PPV/CDC,0.0,0.0,0.0
36,120000,Portalegre,PS,25037.0,42.43,1.0
37,120000,Portalegre,PTP,0.0,0.0,0.0
38,120000,Portalegre,PTP-MAS,198.0,0.34,0.0
39,120000,Portalegre,PURP,147.0,0.25,0.0
40,900000,Fora da Europa,B.E.,229.0,1.56,0.0
41,900000,Fora da Europa,CDS-PP,0.0,0.0,0.0
42,900000,Fora da Europa,CDS-PP.PPM,0.0,0.0,0.0
43,900000,Fora da Europa,JPP,53.0,0.36,0.0
44,900000,Fora da Europa,L/TDA,83.0,0.56,0.0
45,900000,Fora da Europa,MPT,98.0,0.67,0.0
46,900000,Fora da Europa,NC,2631.0,17.9,0.0
47,900000,Fora da Europa,PAN,260.0,1.77,0.0
48,900000,Fora da Europa,PCP-PEV,214.0,1.46,0.0
49,900000,Fora da Europa,PCTP/MRPP,19.0,0.13,0.0
50,900000,Fora da Europa,PDR,465.0,3.16,0.0
51,900000,Fora da Europa,PNR,83.0,0.56,0.0
52,900000,Fora da Europa,PPD/PSD,0.0,0.0,0.0
53,900000,Fora da Europa,PPD/PSD.CDS-PP,7122.0,48.46,2.0
54,900000,Fora da Europa,PPM,52.0,0.35,0.0
55,900000,Fora da Europa,PPV/CDC,0.0,0.0,0.0
56,900000,Fora da Europa,PS,1592.0,10.83,0.0
57,900000,Fora da Europa,PTP,0.0,0.0,0.0
58,900000,Fora da Europa,PTP-MAS,17.0,0.12,0.0
59,900000,Fora da Europa,PURP,119.0,0.81,0.0
60,20000,Beja,B.E.,6105.0,8.2,0.0
61,20000,Beja,CDS-PP,0.0,0.0,0.0
62,20000,Beja,CDS-PP.PPM,0.0,0.0,0.0
63,20000,Beja,JPP,88.0,0.12,0.0
64,20000,Beja,L/TDA,271.0,0.36,0.0
65,20000,Beja,MPT,248.0,0.33,0.0
66,20000,Beja,NC,160.0,0.21,0.0
67,20000,Beja,PAN,608.0,0.82,0.0
68,20000,Beja,PCP-PEV,18592.0,24.96,1.0
69,20000,Beja,PCTP/MRPP,1945.0,2.61,0.0
70,20000,Beja,PDR,351.0,0.47,0.0
71,20000,Beja,PNR,275.0,0.37,0.0
72,20000,Beja,PPD/PSD,0.0,0.0,0.0
73,20000,Beja,PPD/PSD.CDS-PP,14980.0,20.11,1.0
74,20000,Beja,PPM,192.0,0.26,0.0
75,20000,Beja,PPV/CDC,0.0,0.0,0.0
76,20000,Beja,PS,27775.0,37.29,1.0
77,20000,Beja,PTP,0.0,0.0,0.0
78,20000,Beja,PTP-MAS,193.0,0.26,0.0
79,20000,Beja,PURP,340.0,0.46,0.0
80,70000,Évora,B.E.,7312.0,8.64,0.0
81,70000,Évora,CDS-PP,0.0,0.0,0.0
82,70000,Évora,CDS-PP.PPM,0.0,0.0,0.0
83,70000,Évora,JPP,0.0,0.0,0.0
84,70000,Évora,L/TDA,356.0,0.42,0.0
85,70000,Évora,MPT,242.0,0.29,0.0
86,70000,Évora,NC,216.0,0.26,0.0
87,70000,Évora,PAN,723.0,0.85,0.0
88,70000,Évora,PCP-PEV,18567.0,21.94,1.0
89,70000,Évora,PCTP/MRPP,1245.0,1.47,0.0
90,70000,Évora,PDR,443.0,0.52,0.0
91,70000,Évora,PNR,280.0,0.33,0.0
92,70000,Évora,PPD/PSD,0.0,0.0,0.0
93,70000,Évora,PPD/PSD.CDS-PP,20275.0,23.96,1.0
94,70000,Évora,PPM,363.0,0.43,0.0
95,70000,Évora,PPV/CDC,0.0,0.0,0.0
96,70000,Évora,PS,31705.0,37.47,1.0
97,70000,Évora,PTP,0.0,0.0,0.0
98,70000,Évora,PTP-MAS,224.0,0.26,0.0
99,70000,Évora,PURP,166.0,0.2,0.0
100,40000,Bragança,B.E.,3858.0,5.54,0.0
101,40000,Bragança,CDS-PP,0.0,0.0,0.0
102,40000,Bragança,CDS-PP.PPM,0.0,0.0,0.0
103,40000,Bragança,JPP,121.0,0.17,0.0
104,40000,Bragança,L/TDA,251.0,0.36,0.0
105,40000,Bragança,MPT,223.0,0.32,0.0
106,40000,Bragança,NC,160.0,0.23,0.0
107,40000,Bragança,PAN,386.0,0.55,0.0
108,40000,Bragança,PCP-PEV,2136.0,3.07,0.0
109,40000,Bragança,PCTP/MRPP,537.0,0.77,0.0
110,40000,Bragança,PDR,546.0,0.78,0.0
111,40000,Bragança,PNR,190.0,0.27,0.0
112,40000,Bragança,PPD/PSD,0.0,0.0,0.0
113,40000,Bragança,PPD/PSD.CDS-PP,34408.0,49.41,2.0
114,40000,Bragança,PPM,229.0,0.33,0.0
115,40000,Bragança,PPV/CDC,0.0,0.0,0.0
116,40000,Bragança,PS,23718.0,34.06,1.0
117,40000,Bragança,PTP,0.0,0.0,0.0
118,40000,Bragança,PTP-MAS,284.0,0.41,0.0
119,40000,Bragança,PURP,0.0,0.0,0.0
120,90000,Guarda,B.E.,6341.0,7.42,0.0
121,90000,Guarda,CDS-PP,0.0,0.0,0.0
122,90000,Guarda,CDS-PP.PPM,0.0,0.0,0.0
123,90000,Guarda,JPP,83.0,0.1,0.0
124,90000,Guarda,L/TDA,287.0,0.34,0.0
125,90000,Guarda,MPT,298.0,0.35,0.0
126,90000,Guarda,NC,180.0,0.21,0.0
127,90000,Guarda,PAN,725.0,0.85,0.0
128,90000,Guarda,PCP-PEV,3379.0,3.95,0.0
129,90000,Guarda,PCTP/MRPP,689.0,0.81,0.0
130,90000,Guarda,PDR,958.0,1.12,0.0
131,90000,Guarda,PNR,389.0,0.46,0.0
132,90000,Guarda,PPD/PSD,0.0,0.0,0.0
133,90000,Guarda,PPD/PSD.CDS-PP,38964.0,45.59,2.0
134,90000,Guarda,PPM,211.0,0.25,0.0
135,90000,Guarda,PPV/CDC,0.0,0.0,0.0
136,90000,Guarda,PS,28868.0,33.78,2.0
137,90000,Guarda,PTP,0.0,0.0,0.0
138,90000,Guarda,PTP-MAS,277.0,0.32,0.0
139,90000,Guarda,PURP,144.0,0.17,0.0
140,50000,Castelo Branco,B.E.,10450.0,10.03,0.0
141,50000,Castelo Branco,CDS-PP,0.0,0.0,0.0
142,50000,Castelo Branco,CDS-PP.PPM,0.0,0.0,0.0
143,50000,Castelo Branco,JPP,0.0,0.0,0.0
144,50000,Castelo Branco,L/TDA,507.0,0.49,0.0
145,50000,Castelo Branco,MPT,474.0,0.45,0.0
146,50000,Castelo Branco,NC,267.0,0.26,0.0
147,50000,Castelo Branco,PAN,860.0,0.83,0.0
148,50000,Castelo Branco,PCP-PEV,6286.0,6.03,0.0
149,50000,Castelo Branco,PCTP/MRPP,1080.0,1.04,0.0
