,código,distrito,partido,votos,% votos,mandatos
0,110000,Lisboa,A,749.0,0.06,0.0
1,110000,Lisboa,ADN,3249.0,0.27,0.0
2,110000,Lisboa,B.E.,55786.0,4.72,2.0
3,110000,Lisboa,CDS-PP,19524.0,1.65,0.0
4,110000,Lisboa,CH,91889.0,7.77,3.0
5,110000,Lisboa,E,816.0,0.07,0.0
6,110000,Lisboa,IL,93341.0,7.9,3.0
7,110000,Lisboa,JPP,971.0,0.08,0.0
8,110000,Lisboa,L,28834.0,2.44,1.0
9,110000,Lisboa,MAS,1452.0,0.12,0.0
10,110000,Lisboa,MPT,1485.0,0.13,0.0
11,110000,Lisboa,NC,879.0,0.07,0.0
12,110000,Lisboa,PAN,23577.0,1.99,0.0
13,110000,Lisboa,PCP-PEV,59995.0,5.08,2.0
14,110000,Lisboa,PCTP/MRPP,4916.0,0.42,0.0
15,110000,Lisboa,PPD/PSD,285522.0,24.16,11.0
16,110000,Lisboa,PPD/PSD.CDS-PP,0.0,0.0,0.0
17,110000,Lisboa,PPD/PSD.CDS-PP.PPM,0.0,0.0,0.0
18,110000,Lisboa,PPM,0.0,0.0,0.0
19,110000,Lisboa,PS,482606.0,40.83,18.0
20,110000,Lisboa,PTP,555.0,0.05,0.0
21,110000,Lisboa,R.I.R.,3035.0,0.26,0.0
22,110000,Lisboa,VP,1369.0,0.12,0.0
23,130000,Porto,A,372.0,0.04,0.0
24,130000,Porto,ADN,1430.0,0.15,0.0
25,130000,Porto,B.E.,47118.0,4.78,1.0
26,130000,Porto,CDS-PP,14347.0,1.46,0.0
27,130000,Porto,CH,42998.0,4.37,1.0
28,130000,Porto,E,1007.0,0.1,0.0
29,130000,Porto,IL,50359.0,5.11,2.0
30,130000,Porto,JPP,367.0,0.04,0.0
31,130000,Porto,L,11433.0,1.16,0.0
32,130000,Porto,MAS,707.0,0.07,0.0
33,130000,Porto,MPT,706.0,0.07,0.0
34,130000,Porto,NC,922.0,0.09,0.0
35,130000,Porto,PAN,16707.0,1.7,0.0
36,130000,Porto,PCP-PEV,32277.0,3.28,1.0
37,130000,Porto,PCTP/MRPP,0.0,0.0,0.0
38,130000,Porto,PPD/PSD,318343.0,32.33,12.0
39,130000,Porto,PPD/PSD.CDS-PP,0.0,0.0,0.0
40,130000,Porto,PPD/PSD.CDS-PP.PPM,0.0,0.0,0.0
41,130000,Porto,PPM,0.0,0.0,0.0
42,130000,Porto,PS,418869.0,42.53,17.0
