,código,concelho,partido,votos,% votos,mandatos
0,310300,Funchal,ADN,360,0.64,0
1,310300,Funchal,B.E.,1034,1.83,0
2,310300,Funchal,CDS-PP,2115,3.74,0
3,310300,Funchal,CH,5401,9.55,0
4,310300,Funchal,IL,1907,3.37,0
5,310300,Funchal,JPP,8574,15.16,0
6,310300,Funchal,L,452,0.8,0
7,310300,Funchal,MPT,223,0.39,0
8,310300,Funchal,PAN,1253,2.22,0
9,310300,Funchal,PCP-PEV,1333,2.36,0
10,310300,Funchal,PPD/PSD,18857,33.34,0
11,310300,Funchal,PS,13150,23.25,0
12,310300,Funchal,PTP,531,0.94,0
13,310300,Funchal,R.I.R.,248,0.44,0
14,310800,Santa Cruz,ADN,117,0.52,0
15,310800,Santa Cruz,B.E.,310,1.38,0
16,310800,Santa Cruz,CDS-PP,552,2.46,0
17,310800,Santa Cruz,CH,1920,8.57,0
18,310800,Santa Cruz,IL,632,2.82,0
19,310800,Santa Cruz,JPP,7579,33.83,0
20,310800,Santa Cruz,L,147,0.66,0
21,310800,Santa Cruz,MPT,78,0.35,0
22,310800,Santa Cruz,PAN,483,2.16,0
23,310800,Santa Cruz,PCP-PEV,307,1.37,0
24,310800,Santa Cruz,PPD/PSD,6016,26.85,0
25,310800,Santa Cruz,PS,3575,15.96,0
26,310800,Santa Cruz,PTP,223,1.0,0
27,310800,Santa Cruz,R.I.R.,81,0.36,0
28,310200,Câmara de Lobos,ADN,111,0.67,0
29,310200,Câmara de Lobos,B.E.,234,1.41,0
30,310200,Câmara de Lobos,CDS-PP,734,4.43,0
31,310200,Câmara de Lobos,CH,2018,12.17,0
32,310200,Câmara de Lobos,IL,332,2.0,0
33,310200,Câmara de Lobos,JPP,2055,12.4,0
34,310200,Câmara de Lobos,L,108,0.65,0
35,310200,Câmara de Lobos,MPT,119,0.72,0
36,310200,Câmara de Lobos,PAN,363,2.19,0
37,310200,Câmara de Lobos,PCP-PEV,270,1.63,0
38,310200,Câmara de Lobos,PPD/PSD,6784,40.92,0
39,310200,Câmara de Lobos,PS,2824,17.03,0
40,310200,Câmara de Lobos,PTP,199,1.2,0
41,310200,Câmara de Lobos,R.I.R.,77,0.46,0
42,310400,Machico,ADN,48,0.46,0
43,310400,Machico,B.E.,101,0.97,0
44,310400,Machico,CDS-PP,234,2.24,0
45,310400,Machico,CH,755,7.23,0
46,310400,Machico,IL,182,1.74,0
47,310400,Machico,JPP,1560,14.93,0
48,310400,Machico,L,53,0.51,0
49,310400,Machico,MPT,41,0.39,0
50,310400,Machico,PAN,107,1.02,0
51,310400,Machico,PCP-PEV,81,0.78,0
52,310400,Machico,PPD/PSD,3490,33.4,0
53,310400,Machico,PS,3512,33.61,0
54,310400,Machico,PTP,70,0.67,0
55,310400,Machico,R.I.R.,16,0.15,0
56,310700,Ribeira Brava,ADN,49,0.69,0
57,310700,Ribeira Brava,B.E.,66,0.93,0
58,310700,Ribeira Brava,CDS-PP,259,3.67,0
59,310700,Ribeira Brava,CH,760,10.76,0
60,310700,Ribeira Brava,IL,137,1.94,0
61,310700,Ribeira Brava,JPP,828,11.72,0
62,310700,Ribeira Brava,L,49,0.69,0
63,310700,Ribeira Brava,MPT,44,0.62,0
64,310700,Ribeira Brava,PAN,105,1.49,0
65,310700,Ribeira Brava,PCP-PEV,79,1.12,0
66,310700,Ribeira Brava,PPD/PSD,3147,44.54,0
67,310700,Ribeira Brava,PS,1241,17.57,0
68,310700,Ribeira Brava,PTP,60,0.85,0
69,310700,Ribeira Brava,R.I.R.,26,0.37,0
70,310100,Calheta,ADN,26,0.39,0
71,310100,Calheta,B.E.,42,0.64,0
72,310100,Calheta,CDS-PP,594,9.0,0
73,310100,Calheta,CH,523,7.93,0
74,310100,Calheta,IL,75,1.14,0
75,310100,Calheta,JPP,734,11.12,0
76,310100,Calheta,L,22,0.33,0
77,310100,Calheta,MPT,21,0.32,0
78,310100,Calheta,PAN,69,1.05,0
79,310100,Calheta,PCP-PEV,41,0.62,0
80,310100,Calheta,PPD/PSD,3417,51.78,0
81,310100,Calheta,PS,846,12.82,0
82,310100,Calheta,PTP,35,0.53,0
83,310100,Calheta,R.I.R.,13,0.2,0
84,310500,Ponta do Sol,ADN,15,0.31,0
