,código,distrito,código_concelho,concelho,votos_concelho,votos_perdidos_concelho,votos_perdidos_concelho_cc,%_votos_perdidos_concelho,%_votos_perdidos_concelho_cc
0,10000,Aveiro,10100,Águeda,22745,3506,238,0.154143768,0.010463838
1,10000,Aveiro,10200,Albergaria-a-Velha,12060,2265,99,0.187810945,0.008208955
2,10000,Aveiro,10300,Anadia,13702,2247,148,0.163990658,0.010801343
3,10000,Aveiro,10400,Arouca,11734,1446,101,0.123231635,0.008607465
4,10000,Aveiro,10500,Aveiro,40029,8748,411,0.218541557,0.010267556
5,10000,Aveiro,10600,Castelo de Paiva,7917,935,68,0.118100291,0.008589112
6,10000,Aveiro,10700,Espinho,17868,3236,209,0.181105888,0.011696888
7,10000,Aveiro,10800,Estarreja,11958,1923,141,0.160812845,0.011791269
8,10000,Aveiro,10900,Santa Maria da Feira,72970,12047,819,0.165095245,0.011223791
9,10000,Aveiro,11000,Ílhavo,17687,3629,230,0.205178945,0.013003901
10,10000,Aveiro,11100,Mealhada,9583,1673,119,0.174579985,0.012417823
11,10000,Aveiro,11200,Murtosa,4183,586,47,0.140090844,0.011235955
12,10000,Aveiro,11300,Oliveira de Azeméis,34392,5162,391,0.150093045,0.011368923
13,10000,Aveiro,11400,Oliveira do Bairro,10937,1985,127,0.181494011,0.011611959
14,10000,Aveiro,11500,Ovar,28358,5149,296,0.181571338,0.010437972
15,10000,Aveiro,11600,São João da Madeira,11320,2149,145,0.189840989,0.012809187
16,10000,Aveiro,11700,Sever do Vouga,6397,1012,49,0.158199156,0.007659841
17,10000,Aveiro,11800,Vagos,10973,1758,97,0.160211428,0.00883988
18,10000,Aveiro,11900,Vale de Cambra,11785,2190,99,0.185829444,0.008400509
19,20000,Beja,20100,Aljustrel,4603,1112,54,0.241581577,0.011731479
20,20000,Beja,20200,Almodôvar,3332,1342,40,0.402761104,0.012004802
21,20000,Beja,20300,Alvito,1091,444,17,0.406966086,0.015582035
22,20000,Beja,20400,Barrancos,684,243,4,0.355263158,0.005847953
