distrito,votos,mandatos,mandatos_cc,votos_perdidos,votos_perdidos_cc,%votos_perdidos,%votos_perdidos_cc
PORTO,973990.0,38.0,31.0,19050.0,3391.0,1.9558722368812822,0.3481555252107311
LISBOA,1148146.0,48.0,39.0,27146.0,8985.0,2.3643334558496916,0.7825659802847373
SETUBAL,416721.0,17.0,14.0,10034.0,2592.0,2.407846016879399,0.6219988913445686
BRAGA,470629.0,18.0,15.0,33148.0,2884.0,7.043339870683702,0.612796916467111
VISEU,206893.0,9.0,7.0,15925.0,1429.0,7.697215468865549,0.690695190267433
ACORES,89562.0,5.0,4.0,9432.0,466.0,10.531252093521806,0.5203099528818026
VIANA DO CASTELO,138573.0,6.0,5.0,15048.0,831.0,10.859258297070857,0.599683921110173
AVEIRO,378580.0,15.0,13.0,41245.0,1749.0,10.894658988853083,0.4619895398594749
Europa,21368.0,2.0,2.0,2604.0,59.0,12.186447023586672,0.2761138150505429
LEIRIA,240158.0,10.0,8.0,30347.0,1784.0,12.636264459231006,0.7428442941730028
VILA REAL,122754.0,5.0,4.0,16727.0,902.0,13.626439871613146,0.7348029392117569
CASTELO BRANCO,121109.0,5.0,4.0,18086.0,595.0,14.933654806826908,0.4912929674920939
GUARDA,97637.0,4.0,3.0,15436.0,696.0,15.80958038448539,0.7128445159109764
SANTAREM,245955.0,10.0,8.0,39874.0,1665.0,16.21190868248257,0.6769531011770445
BRAGANCA,80808.0,4.0,3.0,13350.0,523.0,16.520641520641522,0.6472131472131473
MADEIRA,136327.0,6.0,5.0,23883.0,901.0,17.518906746279168,0.6609108980612791
COIMBRA,235911.0,10.0,8.0,46819.0,1367.0,19.846043635099676,0.5794558117256083
BEJA,85414.0,3.0,3.0,19826.0,409.0,23.21165148570492,0.4788442175755731
FARO,193098.0,8.0,7.0,45425.0,1452.0,23.524324436296595,0.7519497871547091
EVORA,94670.0,3.0,3.0,26345.0,419.0,27.828245484313932,0.44259004964613924
F. Europa,12168.0,2.0,2.0,4418.0,59.0,36.30834976988823,0.4848783694937541
PORTALEGRE,69335.0,2.0,2.0,30425.0,329.0,43.88115670296387,0.4745078243311459
