distrito,votos,mandatos,mandatos_cc,votos_perdidos,votos_perdidos_cc
Aveiro,368543.0,16.0,13.0,29179.0,5854.0
Açores,86185.0,5.0,4.0,20206.0,1262.0
Beja,72168.0,3.0,2.0,13138.0,1015.0
Braga,467365.0,19.0,16.0,39128.0,9698.0
Bragança,73093.0,3.0,3.0,14036.0,1261.0
C. Branco,105236.0,4.0,3.0,25121.0,1966.0
Coimbra,215572.0,9.0,8.0,35863.0,3511.0
Europa,15617.0,2.0,2.0,3102.0,279.0
Faro,192197.0,9.0,7.0,12324.0,3781.0
F. Europa,12485.0,2.0,2.0,4162.0,402.0
Guarda,88878.0,4.0,3.0,19568.0,1278.0
Leiria,236146.0,10.0,8.0,35952.0,3762.0
Lisboa,1122636.0,47.0,39.0,62063.0,26647.0
Madeira,134307.0,6.0,5.0,26156.0,8579.0
Portalegre,59245.0,2.0,2.0,19275.0,835.0
Porto,955994.0,39.0,32.0,37102.0,16008.0
Santarém,226770.0,10.0,8.0,25289.0,4440.0
Setúbal,404827.0,17.0,14.0,21408.0,7453.0
V. Castelo,129158.0,6.0,5.0,16904.0,1552.0
Vila Real,116035.0,5.0,4.0,19759.0,1316.0
Viseu,194551.0,9.0,7.0,17256.0,2274.0
Évora,83213.0,3.0,3.0,15539.0,1104.0
