partido,votos,mandatos,mandatos_cc,votos_perdidos,votos_perdidos_cc,%votos_nao_convertidos,%votos_nao_convertidos_cc,votos_por_deputado,votos_por_deputado_cc
PPM,260.0,0.0,0.0,260.0,260.0,100.0,100.0,inf,inf
A,2470.0,0.0,0.0,2470.0,2470.0,100.0,100.0,inf,inf
PTP,3616.0,0.0,0.0,3616.0,3616.0,100.0,100.0,inf,inf
NC,3914.0,0.0,0.0,3914.0,3914.0,100.0,100.0,inf,inf
PNR,5017.0,0.0,0.0,5017.0,5017.0,100.0,100.0,inf,inf
MAS,6181.0,0.0,0.0,6181.0,6181.0,100.0,100.0,inf,inf
VP,6245.0,0.0,0.0,6245.0,6245.0,100.0,100.0,inf,inf
MPT,7571.0,0.0,0.0,7571.0,7571.0,100.0,100.0,inf,inf
ADN,10911.0,0.0,0.0,10911.0,10911.0,100.0,100.0,inf,inf
JPP,10935.0,0.0,0.0,10935.0,10935.0,100.0,100.0,inf,inf
MRPP,11267.0,0.0,0.0,11267.0,11267.0,100.0,100.0,inf,inf
R.I.R.,23232.0,0.0,1.0,23232.0,0.0,100.0,0.0,inf,23232.0
CDS-PP,89113.0,0.0,3.0,89113.0,0.0,100.0,0.0,inf,29704.333333333332
PAN,88127.0,1.0,3.0,64550.0,0.0,73.24656461697323,0.0,88127.0,29375.666666666668
L,71196.0,1.0,3.0,42362.0,0.0,59.50053373785044,0.0,71196.0,23732.0
B.E.,244596.0,5.0,10.0,116761.0,0.0,47.736267150730185,0.0,48919.2,24459.6
PCP-PEV,238962.0,6.0,10.0,90719.0,0.0,37.96377666741992,0.0,39827.0,23896.2
IL,273399.0,8.0,11.0,86050.0,0.0,31.474145845449325,0.0,34174.875,24854.454545454544
CH,399510.0,12.0,17.0,109461.0,0.0,27.398813546594578,0.0,33292.5,23500.58823529412
PPD/PSD,1618343.0,77.0,71.0,39590.0,0.0,2.446329362811221,0.0,21017.44155844156,22793.563380281692
PS,2301887.0,120.0,101.0,0.0,0.0,0.0,0.0,19182.391666666666,22790.960396039605
