partido,votos,mandatos,mandatos_cc,votos_perdidos,votos_perdidos_cc,%votos_nao_convertidos,%votos_nao_convertidos_cc,votos_por_deputado,votos_por_deputado_cc
PPM,260.0,0.0,0.0,260.0,260.0,100.0,100.0,inf,inf
A,2693.0,0.0,0.0,2693.0,2693.0,100.0,100.0,inf,inf
PTP,4388.0,0.0,0.0,4388.0,4388.0,100.0,100.0,inf,inf
NC,4553.0,0.0,0.0,4553.0,4553.0,100.0,100.0,inf,inf
PNR,5220.0,0.0,0.0,5220.0,5220.0,100.0,100.0,inf,inf
MAS,6494.0,0.0,0.0,6494.0,6494.0,100.0,100.0,inf,inf
VP,6890.0,0.0,0.0,6890.0,6890.0,100.0,100.0,inf,inf
MPT,8718.0,0.0,0.0,8718.0,8718.0,100.0,100.0,inf,inf
JPP,10935.0,0.0,0.0,10935.0,10935.0,100.0,100.0,inf,inf
ADN,11451.0,0.0,0.0,11451.0,11451.0,100.0,100.0,inf,inf
MRPP,13006.0,0.0,0.0,13006.0,13006.0,100.0,100.0,inf,inf
R.I.R.,24136.0,0.0,1.0,24136.0,0.0,100.0,0.0,inf,24136.0
CDS-PP,90538.0,0.0,3.0,90538.0,0.0,100.0,0.0,inf,30179.333333333332
PAN,92584.0,1.0,3.0,69007.0,0.0,74.53447679944699,0.0,92584.0,30861.333333333332
L,72610.0,1.0,3.0,43776.0,0.0,60.28921636138273,0.0,72610.0,24203.333333333332
B.E.,249591.0,5.0,10.0,121756.0,0.0,48.78220769178376,0.0,49918.2,24959.1
PCP-PEV,242488.0,6.0,10.0,94245.0,0.0,38.86584078387384,0.0,40414.666666666664,24248.8
IL,275688.0,8.0,11.0,88339.0,0.0,32.043106700327904,0.0,34461.0,25062.545454545456
CH,410979.0,12.0,17.0,120930.0,0.0,29.424861124291024,0.0,34248.25,24175.235294117647
PPD/PSD,1651015.0,78.0,71.0,23199.0,0.0,1.4051356286890186,0.0,21166.858974358973,23253.732394366198
PS,2343866.0,119.0,101.0,0.0,0.0,0.0,0.0,19696.352941176472,23206.59405940594
