,código,distrito,partido,votos,% votos,mandatos
0,990000,Resultados Globais,brancos,89823.0,1.39,230.0
1,500000,Território Nacional,brancos,87957.0,1.43,226.0
2,600000,Estrangeiro,brancos,1866.0,0.56,4.0
3,10000,Aveiro,brancos,7031.0,1.66,16.0
4,20000,Beja,brancos,1170.0,1.52,3.0
5,30000,Braga,brancos,9588.0,1.72,19.0
6,40000,Bragança,brancos,890.0,1.22,3.0
7,50000,Castelo Branco,brancos,1529.0,1.41,4.0
8,60000,Coimbra,brancos,4795.0,1.98,9.0
9,70000,Évora,brancos,1251.0,1.4,3.0
10,80000,Faro,brancos,3407.0,1.44,9.0
11,90000,Guarda,brancos,1163.0,1.37,3.0
12,100000,Leiria,brancos,5081.0,1.86,10.0
13,110000,Lisboa,brancos,15711.0,1.19,48.0
14,120000,Portalegre,brancos,920.0,1.52,2.0
15,130000,Porto,brancos,14404.0,1.29,40.0
16,140000,Santarém,brancos,3868.0,1.54,9.0
17,150000,Setúbal,brancos,6256.0,1.24,19.0
18,160000,Viana do Castelo,brancos,2682.0,1.88,5.0
19,170000,Vila Real,brancos,1494.0,1.28,5.0
20,180000,Viseu,brancos,3302.0,1.56,8.0
21,300000,Madeira,brancos,794.0,0.53,6.0
22,400000,Açores,brancos,2621.0,2.47,5.0
23,10100,Águeda,brancos,509.0,1.86,
24,10200,Albergaria-a-Velha,brancos,249.0,1.71,
25,10300,Anadia,brancos,365.0,2.26,
26,10400,Arouca,brancos,246.0,1.83,
27,10500,Aveiro,brancos,864.0,1.83,
28,10600,Castelo de Paiva,brancos,131.0,1.38,
29,10700,Espinho,brancos,276.0,1.36,
30,10800,Estarreja,brancos,264.0,1.81,
31,10900,Santa Maria da Feira,brancos,1249.0,1.44,
32,11000,Ílhavo,brancos,443.0,2.0,
33,11100,Mealhada,brancos,282.0,2.51,
34,11200,Murtosa,brancos,95.0,1.83,
35,11300,Oliveira de Azeméis,brancos,592.0,1.46,
36,11400,Oliveira do Bairro,brancos,224.0,1.67,
37,11500,Ovar,brancos,616.0,1.84,
38,11600,São João da Madeira,brancos,184.0,1.38,
39,11700,Sever do Vouga,brancos,110.0,1.53,
40,11800,Vagos,brancos,176.0,1.3,
41,11900,Vale de Cambra,brancos,156.0,1.15,
42,20100,Aljustrel,brancos,66.0,1.27,
43,20200,Almodôvar,brancos,42.0,1.08,
44,20300,Alvito,brancos,19.0,1.54,
45,20400,Barrancos,brancos,21.0,2.72,
46,20500,Beja,brancos,263.0,1.41,
47,20600,Castro Verde,brancos,54.0,1.34,
48,20700,Cuba,brancos,35.0,1.44,
49,20800,Ferreira do Alentejo,brancos,40.0,1.04,
50,20900,Mértola,brancos,75.0,2.07,
51,21000,Moura,brancos,91.0,1.29,
52,21100,Odemira,brancos,248.0,1.96,
53,21200,Ourique,brancos,36.0,1.25,
54,21300,Serpa,brancos,126.0,1.62,
55,21400,Vidigueira,brancos,54.0,1.87,
56,30100,Amares,brancos,236.0,1.91,
57,30200,Barcelos,brancos,1517.0,1.92,
58,30300,Braga,brancos,2091.0,1.73,
59,30400,Cabeceiras de Basto,brancos,119.0,1.18,
60,30500,Celorico de Basto,brancos,132.0,1.23,
61,30600,Esposende,brancos,415.0,1.81,
62,30700,Fafe,brancos,494.0,1.54,
63,30800,Guimarães,brancos,1828.0,1.71,
64,30900,Póvoa de Lanhoso,brancos,240.0,1.67,
65,31000,Terras de Bouro,brancos,81.0,1.91,
66,31100,Vieira do Minho,brancos,110.0,1.42,
67,31200,Vila Nova de Famalicão,brancos,1528.0,1.72,
68,31300,Vila Verde,brancos,590.0,1.96,
69,31400,Vizela,brancos,207.0,1.3,
70,40100,Alfândega da Fé,brancos,42.0,1.44,
71,40200,Bragança,brancos,285.0,1.47,
72,40300,Carrazeda de Ansiães,brancos,40.0,1.18,
73,40400,Freixo de Espada à Cinta,brancos,20.0,1.21,
74,40500,Macedo de Cavaleiros,brancos,87.0,1.0,
75,40600,Miranda do Douro,brancos,81.0,2.17,
76,40700,Mirandela,brancos,128.0,0.99,
77,40800,Mogadouro,brancos,58.0,1.09,
78,40900,Torre de Moncorvo,brancos,45.0,1.08,
79,41000,Vila Flor,brancos,39.0,1.05,
80,41100,Vimioso,brancos,25.0,1.1,
81,41200,Vinhais,brancos,40.0,0.88,
82,50100,Belmonte,brancos,56.0,1.6,
83,50200,Castelo Branco,brancos,427.0,1.32,
84,50300,Covilhã,brancos,407.0,1.41,
85,50400,Fundão,brancos,220.0,1.39,
86,50500,Idanha-a-Nova,brancos,73.0,1.54,
87,50600,Oleiros,brancos,61.0,2.03,
88,50700,Penamacor,brancos,39.0,1.54,
89,50800,Proença-a-Nova,brancos,70.0,1.56,
90,50900,Sertã,brancos,138.0,1.51,
91,51000,Vila de Rei,brancos,27.0,1.33,
92,51100,Vila Velha de Ródão,brancos,11.0,0.6,
93,60100,Arganil,brancos,109.0,1.72,
94,60200,Cantanhede,brancos,459.0,2.26,
95,60300,Coimbra,brancos,1502.0,1.76,
96,60400,Condeixa-a-Nova,brancos,247.0,2.43,
97,60500,Figueira da Foz,brancos,676.0,1.94,
98,60600,Góis,brancos,33.0,1.49,
99,60700,Lousã,brancos,252.0,2.51,
100,60800,Mira,brancos,165.0,2.28,
101,60900,Miranda do Corvo,brancos,161.0,2.34,
102,61000,Montemor-o-Velho,brancos,297.0,2.09,
103,61100,Oliveira do Hospital,brancos,221.0,1.91,
104,61200,Pampilhosa da Serra,brancos,27.0,1.38,
105,61300,Penacova,brancos,156.0,1.96,
106,61400,Penela,brancos,65.0,2.24,
107,61500,Soure,brancos,226.0,2.21,
108,61600,Tábua,brancos,107.0,1.66,
109,61700,Vila Nova de Poiares,brancos,92.0,2.47,
110,70100,Alandroal,brancos,38.0,1.34,
111,70200,Arraiolos,brancos,59.0,1.39,
112,70300,Borba,brancos,58.0,1.49,
113,70400,Estremoz,brancos,122.0,1.71,
114,70500,Évora,brancos,447.0,1.4,
115,70600,Montemor-o-Novo,brancos,134.0,1.43,
116,70700,Mora,brancos,38.0,1.55,
117,70800,Mourão,brancos,9.0,0.66,
118,70900,Portel,brancos,41.0,1.25,
119,71000,Redondo,brancos,37.0,1.07,
120,71100,Reguengos de Monsaraz,brancos,78.0,1.41,
121,71200,Vendas Novas,brancos,91.0,1.37,
122,71300,Viana do Alentejo,brancos,42.0,1.35,
123,71400,Vila Viçosa,brancos,57.0,1.35,
124,80100,Albufeira,brancos,234.0,1.13,
125,80200,Alcoutim,brancos,23.0,1.64,
126,80300,Aljezur,brancos,46.0,1.76,
127,80400,Castro Marim,brancos,58.0,1.62,
128,80500,Faro,brancos,564.0,1.52,
129,80600,Lagoa,brancos,147.0,1.17,
130,80700,Lagos,brancos,221.0,1.51,
131,80800,Loulé,brancos,497.0,1.42,
132,80900,Monchique,brancos,69.0,2.31,
133,81000,Olhão,brancos,343.0,1.52,
134,81100,Portimão,brancos,397.0,1.25,
135,81200,São Brás de Alportel,brancos,113.0,1.96,
136,81300,Silves,brancos,290.0,1.5,
137,81400,Tavira,brancos,222.0,1.63,
138,81500,Vila do Bispo,brancos,42.0,1.68,
139,81600,Vila Real de Santo António,brancos,141.0,1.42,
140,90100,Aguiar da Beira,brancos,43.0,1.32,
141,90200,Almeida,brancos,49.0,1.39,
142,90300,Celorico da Beira,brancos,51.0,1.29,
143,90400,Figueira de Castelo Rodrigo,brancos,21.0,0.69,
144,90500,Fornos de Algodres,brancos,29.0,1.04,
145,90600,Gouveia,brancos,125.0,1.81,
146,90700,Guarda,brancos,281.0,1.13,
147,90800,Manteigas,brancos,23.0,1.32,
148,90900,Mêda,brancos,26.0,0.94,
149,91000,Pinhel,brancos,71.0,1.46,
150,91100,Sabugal,brancos,96.0,1.61,
151,91200,Seia,brancos,222.0,1.72,
152,91300,Trancoso,brancos,68.0,1.33,
153,91400,Vila Nova de Foz Côa,brancos,58.0,1.63,
154,100100,Alcobaça,brancos,495.0,1.48,
155,100200,Alvaiázere,brancos,40.0,1.08,
156,100300,Ansião,brancos,102.0,1.4,
157,100400,Batalha,brancos,167.0,1.69,
158,100500,Bombarral,brancos,146.0,1.94,
159,100600,Caldas da Rainha,brancos,519.0,1.76,
160,100700,Castanheira de Pêra,brancos,29.0,1.82,
161,100800,Figueiró dos Vinhos,brancos,48.0,1.48,
