,código,distrito,partido,votos,% votos,mandatos
0,130000,Porto,AD,339096,30.41,12
1,130000,Porto,PS,338084,30.32,12
2,130000,Porto,CH,170910,15.33,6
3,130000,Porto,IL,64050,5.74,2
4,130000,Porto,B.E.,51909,4.66,1
5,130000,Porto,L,37319,3.35,1
6,130000,Porto,PCP-PEV,26500,2.38,0
7,130000,Porto,PAN,23415,2.1,0
8,130000,Porto,ADN,19585,1.76,0
9,130000,Porto,Outros,18718,1.68,0
10,110000,Lisboa,PS,365793,27.73,13
11,110000,Lisboa,AD,356542,27.03,12
12,110000,Lisboa,CH,224493,17.02,8
13,110000,Lisboa,IL,86816,6.58,3
14,110000,Lisboa,L,72104,5.47,2
15,110000,Lisboa,B.E.,65421,4.96,2
16,110000,Lisboa,PCP-PEV,49341,3.74,1
17,110000,Lisboa,PAN,32824,2.49,1
18,110000,Lisboa,ADN,19067,1.45,0
19,110000,Lisboa,Outros,17073,1.3,0
20,100000,Leiria,AD,96311,35.21,4
21,100000,Leiria,PS,61535,22.5,3
22,100000,Leiria,CH,53764,19.66,2
23,100000,Leiria,IL,15446,5.65,0
24,100000,Leiria,B.E.,11736,4.29,0
25,100000,Leiria,L,7197,2.63,0
26,100000,Leiria,PCP-PEV,6600,2.41,0
27,100000,Leiria,PAN,4645,1.7,0
28,100000,Leiria,ADN,4560,1.67,0
29,100000,Leiria,Outros,3080,1.12,0
30,10000,Aveiro,AD,148861,35.13,6
31,10000,Aveiro,PS,117348,27.69,5
32,10000,Aveiro,CH,73110,17.25,3
33,10000,Aveiro,IL,21671,5.11,0
34,10000,Aveiro,B.E.,17358,4.1,0
35,10000,Aveiro,L,9510,2.24,0
36,10000,Aveiro,PAN,7300,1.72,0
37,10000,Aveiro,PCP-PEV,5850,1.38,0
38,10000,Aveiro,ADN,5753,1.36,0
39,10000,Aveiro,Outros,5402,1.28,0
40,30000,Braga,AD,184468,33.16,7
41,30000,Braga,PS,157099,28.24,6
